U175010,L000801,Related-party transaction
U282421,L601155,Related-party transaction
U140642,L600408,Related-party transaction
H12208,L000731,Investment
H12208,L600662,Investment
U274201,L600823,Related-party transaction
U134514,L000836,Related-party transaction
U154195,L000028,Related-party transaction
U154195,L600511,Related-party transaction
U154195,L600161,Related-party transaction
U172953,L000767,Related-party transaction
H18413,L000962,Investment
H18413,L002287,Investment
L600636,L600016,Investment
L600636,L600036,Investment
L600636,L600618,Related-party transaction
L600636,L600030,Investment
L600636,U246325,Related-party transaction
L600636,U7949,Related-party transaction
L600636,U964,Related-party transaction
L600636,U263021,Related-party transaction
L600636,U7937,Related-party transaction
L600636,L600623,Related-party transaction
L600636,U8254,Related-party transaction
L600636,U5713,Related-party transaction
L600636,U8256,Related-party transaction
L600636,U263835,Related-party transaction
L600636,U4052,Related-party transaction
L600636,U8251,Related-party transaction
L600636,U8329,Related-party transaction
L600636,U263286,Related-party transaction
L600636,U263043,Related-party transaction
L600636,U263847,Related-party transaction
L600636,U263848,Related-party transaction
L600636,U263845,Related-party transaction
L600636,U7931,Related-party transaction
L600636,U187627,Investment
L600636,H31448,Investment
L600636,H58252,Investment
L600636,U7933,Investment
L600636,H1375,Investment
L600636,H57419,Investment
L600636,H2623,Investment
L600636,H66538,Investment
L600636,U187788,Investment
L600636,U171214,Investment
L600636,U162383,Investment
L600636,H1413,Investment
L600636,L601288,Investment
L600636,H21484,Investment
L600636,H46345,Investment
L600636,U154212,Investment
L600636,O185,Investment
L600636,U152763,Investment
L600636,H5347,Investment
L600636,H66539,Investment
L600636,U152764,Investment
L600636,H10014,Investment
L600636,H66540,Investment
L600636,A106958,Audit
H33868,L002552,Investment
H17625,L000930,Investment
H43444,L300117,Investment
U43808,L300106,Related-party transaction
U114406,L300102,Related-party transaction
U222338,L300340,Related-party transaction
U218612,L300155,Related-party transaction
U35203,L002496,Related-party transaction
U132098,L600335,Related-party transaction
U193793,L002174,Related-party transaction
U187878,L002037,Related-party transaction
U282423,L601155,Related-party transaction
H34242,L600779,Investment
H26884,L002236,Investment
U178908,L000901,Related-party transaction
U195497,L002207,Related-party transaction
H31722,L600268,Investment
H31722,L600778,Investment
U292645,L603126,Related-party transaction
U195204,L002202,Related-party transaction
H14046,L002546,Investment
H14046,L603300,Investment
H16557,L300408,Related-party transaction
U160929,L002502,Investment
U86934,L002506,Related-party transaction
U86934,L600475,Related-party transaction
U205078,L002530,Related-party transaction
U201477,L002403,Related-party transaction
U207351,L002619,Related-party transaction
U255451,L600468,Related-party transaction
U159764,L000782,Investment
H10428,L300349,Investment
U236496,L600098,Related-party transaction
H47846,L300365,Investment
H4509,L002096,Investment
H4509,L002351,Investment
H4509,L002711,Related-party transaction
H27307,L002255,Investment
U82899,L300024,Related-party transaction
H6806,L000567,Investment
H6806,L600573,Investment
H6806,L600128,Investment
U245409,L600266,Related-party transaction
U18896,L600742,Related-party transaction
U18896,L000800,Related-party transaction
U18896,L002232,Related-party transaction
U18896,L000927,Related-party transaction
U170074,L000709,Related-party transaction
U167077,L002316,Investment
U176817,L300471,Investment
U231837,L601226,Related-party transaction
L002059,H8,Related-party transaction
L002059,U155981,Investment
L002059,L600016,Investment
L002059,L601099,Investment
L002059,U102722,Related-party transaction
L002059,U189181,Related-party transaction
L002059,U189182,Related-party transaction
L002059,U189159,Related-party transaction
L002059,U189146,Related-party transaction
L002059,U189172,Related-party transaction
L002059,U189183,Related-party transaction
L002059,U102720,Related-party transaction
L002059,H1466,Related-party transaction
L002059,U163789,Investment
L002059,H21428,Investment
L002059,U163787,Investment
L002059,U163790,Investment
